?"sku",fnsku,asin,amazon-store,sales-price,longest-side,median-side,shortest-side,length-and-girth,unit-of-dimension,item-package-weight,unit-of-weight
306104-88J,X004RIQPGZ,B0FHQ5RMQ2,US,18.99,8.7,8.7,3.9,33.9,inches,1.3,pounds
306109-4C,X004RI8WKR,B0FHQ7WGSX,US,19.99,15.55,5.16,5,35.87,inches,2.34,pounds
GH-E42APR,X004R42JZZ,B0BS2BVL3Q,US,89.99,7.48,4.57,3.03,22.68,inches,1.54,pounds
VSN-GT4X108,X004QXR2KT,B0FGHLTMFH,US,15.99,4.76,4.76,4.25,22.78,inches,1.32,pounds
VSN-GT2X108,X004QXNAZP,B0FGHR5W35,US,9.99,4.76,4.76,2.2,18.68,inches,0.68,pounds
VSN-GT3X213,X004QWPYV9,B0FGHQT8PQ,US,16.99,5.94,5.87,3.46,24.6,inches,1.85,pounds
WB-40,X004Q8MYX9,B0FDPX6DJK,US,35.99,23.5,23.5,2.5,75.5,inches,5.45,pounds
VSEX-CGM-BL,X004PSEAO1,B0FCL6RQXS,US,76.49,8.46,6.5,6.5,34.46,inches,2.64,pounds
VSI-DIK01,X004PJTX0B,B0FBWDWK4R,US,49.99,10.8,7.3,3.4,32.2,inches,2.4,pounds
VSVC-AZT8,X004PBZTDT,B0FB8V8DH6,US,269.99,28,22.4,13.2,99.2,inches,28,pounds
EH-0001N,X004O2L613,B0F4QKNCP2,US,68.99,12.99,8.74,7.83,46.13,inches,5,pounds
VSV-AZT8,X004MIVZB5,B0F2S6ZLRK,US,109.99,14,11.03,10,56.06,inches,9,pounds
MGN-GSBL,X004MB4IWZ,B0F29CNDN9,US,11.19,10,5,0.59,21.18,inches,0.15,pounds
MGN-GSAM,X004MB4IQL,B0F29BDRW4,US,11.19,10,4.88,0.71,21.18,inches,0.15,pounds
MGN-GSCM,X004MB4IO3,B0F29CDCQL,US,11.19,10.08,4.61,0.75,20.8,inches,0.15,pounds
MGN-GSDM,X004MB4ILB,B0F29D1XK3,US,11.19,9.96,4.61,0.75,20.68,inches,0.15,pounds
MGN-GSBM,X004MB2VLP,B0F29BY95Q,US,11.19,9.69,4.65,0.63,20.25,inches,0.18,pounds
MGN-GSAL,X004MB26P1,B0F29CLH8P,US,11.19,10.08,4.88,0.63,21.1,inches,0.33,pounds
MGN-GSDL,X004MA0ODX,B0F29G21Z9,US,11.19,9.8,5.87,0.71,22.96,inches,0.15,pounds
MGN-GSCL,X004MA0ODD,B0F299P48G,US,11.19,9.53,4.8,0.91,20.95,inches,0.13,pounds
