sku,fnsku,asin,amazon-store,your-price,sales-price,longest-side,median-side,shortest-side,length-and-girth,unit-of-dimension,item-package-weight,unit-of-weight,european_size_category,european_shipping_weight_g,european_country,fba_fee_2025年1月15日至2025年10月14日,fba_fee_2025年10月15日至2026年1月14日
306104-8C-EU,X0023T6QNT,B010UCCR3A,DE,34.99,34.99,32.8,22.2,21.8,120.8,centimeters,1380.01,grams,标准包裹,3174.778,德国,5.67,5.94
306104-42C-EU,X0023T6Q1L,B07WFDCYZL,DE,32.99,32.99,45.29,22.91,12.4,115.9,centimeters,1550.02,grams,小号大件,2573.233,德国,5.66,5.66
306104-62C-EU,X0023T6PV7,B07WD9KQ93,DE,52.99,52.99,36.4,31.9,17.5,135.2,centimeters,2118,grams,标准包裹,4064.06,德国,5.95,6.23
GH-0012-EU,X0023T5VWB,B08HS15RXP,DE,23.52,23.52,71.59,49.7,9.4,189.79,centimeters,5280,grams,轻型标准大件,6689.083,德国,6.63,6.63
306104-482-EU,X0023T25DJ,B07FKJNGSZ,DE,24.99,24.99,34.49,12.09,11.3,81.28,centimeters,608,grams,小包裹,942.384,德国,4.29,4.49
306104-4C-EU,X0023SZURD,B01EUURUVM,DE,22.99,22.99,43.94,12.07,11.68,91.45,centimeters,790.02,grams,标准包裹,1238.911,德国,4.54,4.75
GH-0007-EU,X0023SZ2JJ,B08B63NZX8,DE,37.94,37.94,99.06,36.96,11.43,195.83,centimeters,7053,grams,轻型标准大件,8369.635,德国,7.12,7.12
VSA-150-HUB-EU,X0023PYIW9,B0BXNYHSWX,DE,212.49,212.49,40.11,34.49,9.6,128.3,centimeters,4491.02,grams,轻型标准大件,4491.02,德国,5.99,5.99
VSA-150-EU,X0023PWX53,B0BXNRSVHW,DE,199.99,199.99,40,34.7,10.3,130,centimeters,4110,grams,轻型标准大件,4110,德国,5.88,5.88
LED-200-UK,X00231P1CT,B08GNZ7M74,GB,139.98,139.98,69.5,37.29,18.6,181.28,centimeters,5860.01,grams,轻型标准大件,9640.957,英国,6.8,6.8
HDR006-UK,X0022UJ1MR,B096VM7MF3,GB,29.99,29.99,25.2,24.79,8.61,92,centimeters,938.98,grams,小包裹,1075.747,英国,3.05,3.14
332823-100J-UK,X0022UIZ65,B086V9MW2Q,GB,16.99,16.99,18.3,11.8,5,51.9,centimeters,179.99,grams,超大号信封,179.99,英国,2.94,3
TN-55-UK,X0022UGHZV,B0BY2DZJ8J,GB,20.99,20.99,23.6,23,7.4,84.4,centimeters,280,grams,小包裹,803.344,英国,3.04,3.13
TN-24-UK,X0022UGHX3,B0BY2CLYQQ,GB,15.99,15.99,18.9,11.8,3.1,48.7,centimeters,130,grams,大号信封,130,英国,2.72,2.77
332022-2-UK,X0022UFDJ7,B07VK1LVN6,GB,11.19,11.19,9.6,8,6.5,38.6,centimeters,170.01,grams,小包裹,170.01,英国,3,3.09
VSH-IS03-UK,X0022UF9AZ,B0BXD9RK42,GB,45.99,45.99,31.1,21.2,7.1,87.7,centimeters,939.98,grams,小包裹,939.98,英国,3.05,3.14
GH-E25-UK,X0022UF8CT,B0BKP7VV1H,GB,25.99,25.99,8.4,5.6,1.9,23.4,centimeters,20,grams,轻型信封,20,英国,1.83,1.83
306201P-8-UK,X0022UETQZ,B01DXYMM2I,GB,99.99,99.99,33.66,28.09,27.81,145.47,centimeters,4239.32,grams,轻型标准大件,5258.923,英国,5.75,5.75
332021-UK,X0022UDBM3,B07VK287M6,GB,7.69,7.69,9.3,6.5,4,30.3,centimeters,89.99,grams,大号信封,89.99,英国,2.72,2.77
TN-44-UK,X0022UD6WN,B0BY2JKXC7,GB,17.99,17.99,19.4,18.5,4.3,65,centimeters,210.01,grams,超大号信封,210.01,英国,2.94,3
306201P-6-UK,X0022UCNU9,B01DXYMJ94,GB,85.99,85.99,32,26,25.3,134.6,centimeters,3020.02,grams,标准包裹,4209.92,英国,5.19,5.34
311003-5X3NJ-UK,X0022UAF3L,B088GVCMZH,GB,15.99,15.99,22.5,8.5,4.5,48.5,centimeters,210.01,grams,超大号信封,210.01,英国,2.94,3
VSA100SE-UK,X0022Q26KZ,B0BKPVFBKY,GB,76.99,76.99,40.2,34.4,8.4,125.8,centimeters,2720.01,grams,轻型标准大件,2720.01,英国,5.14,5.14
304113-P276-UK,X0022PY31L,B0CGHJ3F21,GB,159.99,159.99,85,32.4,18.6,187,centimeters,11260.02,grams,轻型标准大件,11260.02,英国,7.19,7.19
304113-P224-UK,X0022PY2IZ,B0CGHDFN7T,GB,90.99,90.99,66.04,33.02,16.51,165.1,centimeters,8323.01,grams,轻型标准大件,8323.01,英国,6.49,6.49
305132-PEN-UK,X0022PX1Y1,B01N2O1Z5B,GB,9.99,9.99,16.4,5.5,3.2,33.8,centimeters,100.02,grams,大号信封,100.02,英国,2.72,2.77
305131-UK,X0022PUP95,B01DNUIGUY,GB,10.99,10.99,32.9,10.3,4.1,61.7,centimeters,89.99,grams,超大号信封,89.99,英国,2.94,3
VSVC-AZG6E42A-UK,X0022PUDVP,B0CBRPS1N8,GB,229.99,229.99,93.32,27.91,26.64,202.44,centimeters,10155.93,grams,轻型标准大件,13877.102,英国,7.82,7.82
304113-P336-UK,X0022PRRPF,B0CGHJG44R,GB,123.01,123.01,95.5,32.8,18.8,198.7,centimeters,14820,grams,轻型标准大件,14820,英国,8.04,8.04
COMBO-01-UK,X0022PR8QX,B08KXRND9X,GB,21.99,21.99,33.1,12.7,5.7,69.9,centimeters,280,grams,小包裹,479.222,英国,3.04,3.13
VSV-AZS4E42A-UK,X0022P4MCV,B09YH6SZZF,GB,83.98,83.98,36.1,26.1,20.2,128.7,centimeters,2850.01,grams,标准包裹,3806.528,英国,5.16,5.32
VSVC-AZG4E42A-UK,X0022P34QV,B0CBRSM7H7,GB,199.99,199.99,57.58,35.99,23.09,175.74,centimeters,7017.07,grams,轻型标准大件,9569.901,英国,6.78,6.78
VSA200SE-E25-UK,X0022P2DX1,B0BKPH1CZ6,GB,204.99,204.99,41,34.7,9.2,128.8,centimeters,4760,grams,轻型标准大件,4760,英国,5.63,5.63
LED-150-UK,X0022P1AK3,B09LQCSC8P,GB,159.99,159.99,40.64,38.86,10.16,138.68,centimeters,3900.99,grams,轻型标准大件,3900.99,英国,5.42,5.42
VC-0003-EU,X0022KYSO3,B0B7J2931M,DE,19.99,19.99,15.2,13.6,5.3,53,centimeters,40.01,grams,超大号信封,40.01,德国,3.42,3.42
VS1000E-UK,X0022HQHXL,B09F2MG2L8,GB,62.99,62.99,37.1,31.7,7.2,114.9,centimeters,1999.98,grams,标准包裹,1999.98,英国,4.73,4.87
333101-G2J-UK,X0022HM3G1,B07RBL1XJV,GB,28.99,28.99,19.6,18.4,6.5,69.4,centimeters,269.98,grams,小包裹,468.832,英国,3.04,3.13
VC-0002-UK,X0022HM0AP,B0B7J1151P,GB,18.99,18.99,19.7,13.3,3.8,53.9,centimeters,29.98,grams,大号信封,29.98,英国,2.72,2.77
VC-0001-UK,X0022HLWZ9,B0B7HXBR75,GB,16.99,16.99,19.4,13.5,2.6,51.6,centimeters,29.98,grams,大号信封,29.98,英国,2.72,2.77
