?"sku",fnsku,asin,amazon-store,fulfilled-by,your-price,sales-price,longest-side,median-side,shortest-side,length-and-girth,unit-of-dimension,item-package-weight,unit-of-weight,size_category_2024,shipping_weight_2024,size_category_2026,shipping_weight_2026,removal_fee_2026,multichannel_fee_standard,multichannel_fee_express,fba_fee_2025年01月15日至2025年10月14日_2024,fba_fee_2025年10月15日至2026年01月14日_2024,fba_fee_自2026年01月15日起_2026
306104-88J,X004RIQPGZ,B0FHQ5RMQ2,US,Amazon,18.99,18.99,8.7,8.7,3.9,33.9,inches,1.3,pounds,大号标准尺寸,2.124,大号标准尺寸,2.124,3.02,11.75,14.14,5.87,6.24,5.92
306109-4C,X004RI8WKR,B0FHQ7WGSX,US,Amazon,20.99,20.99,15.55,5.16,5,35.87,inches,2.34,pounds,大号标准尺寸,2.886,大号标准尺寸,2.886,3.83,11.75,14.14,6.62,7.03,6.67
GH-E42APR,X004R42JZZ,B0BS2BVL3Q,US,Amazon,89.99,89.99,7.05,6.97,2.05,25.09,inches,1.61,pounds,大号标准尺寸,1.61,大号标准尺寸,1.61,2.27,10.64,13.45,5.52,5.84,5.83
VSN-GT4X108,X004QXR2KT,B0FGHLTMFH,US,Amazon,19.98,19.98,4.76,4.76,4.25,22.78,inches,1.32,pounds,大号标准尺寸,1.32,大号标准尺寸,1.32,2.27,10.64,13.45,5.37,5.68,5.42
VSN-GT2X108,X004QXNAZP,B0FGHR5W35,US,Amazon,9.99,9.99,4.76,4.76,2.2,18.68,inches,0.68,pounds,大号标准尺寸,0.68,大号标准尺寸,0.68,1.53,8.61,11.81,3.38,3.66,3.38
VSN-GT3X213,X004QWPYV9,B0FGHQT8PQ,US,Amazon,18.99,18.99,5.94,5.87,3.46,24.6,inches,1.85,pounds,大号标准尺寸,1.85,大号标准尺寸,1.85,2.27,10.64,13.45,5.77,6.1,5.82
WB-40,X004Q8MYX9,B0FDPX6DJK,US,Amazon,35.99,35.99,23.5,23.5,2.5,75.5,inches,5.45,pounds,大号大件,9.933,小号大件,9.933,10.04,24.03,25.7,13,14.04,10.94
VSEX-CGM-BL,X004PSEAO1,B0FCL6RQXS,US,Amazon,84.99,84.99,8.46,6.5,6.5,34.46,inches,2.64,pounds,大号标准尺寸,2.64,大号标准尺寸,2.64,3.57,11.75,14.14,6.21,6.61,6.52
VSI-DIK01,X004PJTX0B,B0FBWDWK4R,US,Amazon,49.99,49.99,10.8,7.3,3.4,32.2,inches,2.4,pounds,大号标准尺寸,2.4,大号标准尺寸,2.4,3.31,11.75,14.14,6.05,6.44,6.1
VSVC-AZT8,X004PBZTDT,B0FB8V8DH6,US,Amazon,269.99,269.99,28,22.4,13.2,99.2,inches,28,pounds,"超大件((50,70]磅)",59.561,"超大件((50,70]磅)",59.561,66.86,71.29,76.38,46.54,49.35,43.74
EH-0001N,X004O2L613,B0F4QKNCP2,US,Amazon,79.99,79.99,12.99,8.74,7.83,46.13,inches,5,pounds,大号标准尺寸,6.395,大号标准尺寸,6.395,7.55,14.13,16.48,8.01,8.55,8.32
VSV-AZT8,X004MIVZB5,B0F2S6ZLRK,US,Amazon,109.99,109.99,14,11.03,10,56.06,inches,9,pounds,大号大件,11.109,小号大件,11.109,15.5,24.91,26.58,13.45,14.49,11.39
MGN-GSBL,X004MB4IWZ,B0F29CNDN9,US,Amazon,7.59,7.99,10,5,0.59,21.18,inches,0.15,pounds,小号标准尺寸,0.15,小号标准尺寸,0.15,0.84,7.34,10.7,2.38,2.57,2.49
