配送方式,商品尺寸,发货重量,多渠道配送费
标准,小号标准尺寸,<=0.25磅,7.34
标准,小号标准尺寸,"(0.25,0.5]磅",7.51
标准,小号标准尺寸,"(0.5,0.75]磅",8.17
标准,小号标准尺寸,"(0.75,1]磅",8.66
标准,大号标准尺寸,<=0.25磅,7.56
标准,大号标准尺寸,"(0.25,0.5]磅",7.72
标准,大号标准尺寸,"(0.5,0.75]磅",8.61
标准,大号标准尺寸,"(0.75,1]磅",8.93
标准,大号标准尺寸,"(1,2]磅",10.64
标准,大号标准尺寸,"(2,3]磅",11.75
标准,大号标准尺寸,"(3,20]磅",11.75+(发货重量-3)*0.7
标准,小号大件,"(0,30]磅",18.08+(发货重量-2)*0.75
标准,小号大件,>30磅,39.13+(发货重量-30)*0.75
标准,大号大件,"(0,30]磅",18.43+(发货重量-2)*0.77
标准,大号大件,>30磅,39.89+(发货重量-30)*0.77
标准,"超大件((0,50]磅)","(0,50]磅",32.17+(发货重量-1)*0.62
标准,"超大件((50,70]磅)","(50,70]磅",62.64+(发货重量-51)*1.01
标准,"超大件((70,150]磅)","(70,150]磅",86.44+(发货重量-71)*1.41
标准,超大件(>150磅),>150磅,253.97+(发货重量-151)*1.69
加急,小号标准尺寸,<=0.25磅,10.7
加急,小号标准尺寸,"(0.25,0.5]磅",10.83
加急,小号标准尺寸,"(0.5,0.75]磅",11.45
加急,小号标准尺寸,"(0.75,1]磅",13.12
加急,大号标准尺寸,<=0.25磅,10.88
加急,大号标准尺寸,"(0.25,0.5]磅",11.59
加急,大号标准尺寸,"(0.5,0.75]磅",11.81
加急,大号标准尺寸,"(0.75,1]磅",13.12
加急,大号标准尺寸,"(1,2]磅",13.45
加急,大号标准尺寸,"(2,3]磅",14.14
加急,大号标准尺寸,"(3,20]磅",14.14+(发货重量-3)*0.69
加急,小号大件,"(0,30]磅",19.75+(发货重量-2)*0.75
加急,小号大件,>30磅,40.8+(发货重量-30)*0.75
加急,大号大件,"(0,30]磅",20.13+(发货重量-2)*0.77
加急,大号大件,>30磅,14.59+(发货重量-30)*0.77
加急,"超大件((0,50]磅)","(0,50]磅",32.57+(发货重量-1)*0.65
加急,"超大件((50,70]磅)","(50,70]磅",67.73+(发货重量-51)*1.01
加急,"超大件((70,150]磅)","(70,150]磅",90.30+(发货重量-71)*1.41
加急,超大件(>150磅),>150磅,299.11+(发货重量-151)*1.66
