时期,国家,商品尺寸,发货重量,FBA费用
2025年1月15日至2025年10月14日,英国,轻型信封,<=20g,1.83
2025年1月15日至2025年10月14日,英国,轻型信封,<=40g,1.87
2025年1月15日至2025年10月14日,英国,轻型信封,<=60g,1.89
2025年1月15日至2025年10月14日,英国,轻型信封,<=80g,2.07
2025年1月15日至2025年10月14日,英国,轻型信封,<=100g,2.08
2025年1月15日至2025年10月14日,英国,标准信封,<=210g,2.1
2025年1月15日至2025年10月14日,英国,标准信封,<=460g,2.16
2025年1月15日至2025年10月14日,英国,大号信封,<=960g,2.72
2025年1月15日至2025年10月14日,英国,超大号信封,<=960g,2.94
2025年1月15日至2025年10月14日,英国,小包裹,<=150g,2.91
2025年1月15日至2025年10月14日,英国,小包裹,<=400g,3
2025年1月15日至2025年10月14日,英国,小包裹,<=900g,3.04
2025年1月15日至2025年10月14日,英国,小包裹,<=1400g,3.05
2025年1月15日至2025年10月14日,英国,小包裹,<=1900g,3.25
2025年1月15日至2025年10月14日,英国,小包裹,<=3900g,5.1
2025年1月15日至2025年10月14日,英国,标准包裹,<=150g,2.94
2025年1月15日至2025年10月14日,英国,标准包裹,<=400g,3.01
2025年1月15日至2025年10月14日,英国,标准包裹,<=900g,3.06
2025年1月15日至2025年10月14日,英国,标准包裹,<=1400g,3.26
2025年1月15日至2025年10月14日,英国,标准包裹,<=1900g,3.48
2025年1月15日至2025年10月14日,英国,标准包裹,<=2900g,4.73
2025年1月15日至2025年10月14日,英国,标准包裹,<=3900g,5.16
2025年1月15日至2025年10月14日,英国,标准包裹,<=5900g,5.19
2025年1月15日至2025年10月14日,英国,标准包裹,<=8900g,5.57
2025年1月15日至2025年10月14日,英国,标准包裹,<=11900g,5.77
2025年1月15日至2025年10月14日,英国,小号大件,<=760g,3.65
2025年1月15日至2025年10月14日,英国,小号大件,>760g,3.65+((发货重量-760)/1000)*0.25
2025年1月15日至2025年10月14日,英国,轻型标准大件,<=760g,4.67
2025年1月15日至2025年10月14日,英国,轻型标准大件,>760g,4.67+((发货重量-760)/1000)*0.24
2025年1月15日至2025年10月14日,英国,重型标准大件,<=15760g,8.28
2025年1月15日至2025年10月14日,英国,重型标准大件,>15760g,8.28+((发货重量-15760)/1000)*0.2
