时期,商品价格,商品尺寸,发货重量,FBA费用
2025年01月15日至2025年10月14日,<10,小号标准尺寸,<=0.125磅,2.29
2025年01月15日至2025年10月14日,<10,小号标准尺寸,"(0.125,0.25]磅",2.38
2025年01月15日至2025年10月14日,<10,小号标准尺寸,"(0.25,0.375]磅",2.47
2025年01月15日至2025年10月14日,<10,小号标准尺寸,"(0.375,0.5]磅",2.56
2025年01月15日至2025年10月14日,<10,小号标准尺寸,"(0.5,0.625]磅",2.66
2025年01月15日至2025年10月14日,<10,小号标准尺寸,"(0.625,0.75]磅",2.76
2025年01月15日至2025年10月14日,<10,小号标准尺寸,"(0.75,0.875]磅",2.83
2025年01月15日至2025年10月14日,<10,小号标准尺寸,"(0.875,1]磅",2.88
2025年01月15日至2025年10月14日,<10,大号标准尺寸,<=0.25磅,2.91
2025年01月15日至2025年10月14日,<10,大号标准尺寸,"(0.25,0.5]磅",3.13
2025年01月15日至2025年10月14日,<10,大号标准尺寸,"(0.5,0.75]磅",3.38
2025年01月15日至2025年10月14日,<10,大号标准尺寸,"(0.75,1]磅",3.78
2025年01月15日至2025年10月14日,<10,大号标准尺寸,"(1,1.25]磅",4.22
2025年01月15日至2025年10月14日,<10,大号标准尺寸,"(1.25,1.5]磅",4.6
2025年01月15日至2025年10月14日,<10,大号标准尺寸,"(1.5,1.75]磅",4.75
2025年01月15日至2025年10月14日,<10,大号标准尺寸,"(1.75,2]磅",5
2025年01月15日至2025年10月14日,<10,大号标准尺寸,"(2,2.25]磅",5.1
2025年01月15日至2025年10月14日,<10,大号标准尺寸,"(2.25,2.5]磅",5.28
2025年01月15日至2025年10月14日,<10,大号标准尺寸,"(2.5,2.75]磅",5.44
2025年01月15日至2025年10月14日,<10,大号标准尺寸,"(2.75,3]磅",5.85
2025年01月15日至2025年10月14日,<10,大号标准尺寸,"(3,20]磅",6.15+((发货重量-3)*16/4)*0.08
2025年01月15日至2025年10月14日,<10,小号大件,"(0,50]磅",8.84+(发货重量-1)*0.38
2025年01月15日至2025年10月14日,<10,大号大件,"(0,50]磅",8.84+(发货重量-1)*0.38
2025年01月15日至2025年10月14日,<10,"超大件((0,50]磅)","(0,50]磅",25.56+(发货重量-1)*0.38
2025年01月15日至2025年10月14日,<10,"超大件((50,70]磅)","(50,70]磅",39.35+(发货重量-51)*0.75
2025年01月15日至2025年10月14日,<10,"超大件((70,150]磅)","(70,150]磅",54.04+(发货重量-71)*0.75
2025年01月15日至2025年10月14日,<10,超大件(>150磅),>150磅,194.18+(发货重量-151)*0.19
2025年01月15日至2025年10月14日,"[10,50]",小号标准尺寸,<=0.125磅,3.06
2025年01月15日至2025年10月14日,"[10,50]",小号标准尺寸,"(0.125,0.25]磅",3.15
2025年01月15日至2025年10月14日,"[10,50]",小号标准尺寸,"(0.25,0.375]磅",3.24
2025年01月15日至2025年10月14日,"[10,50]",小号标准尺寸,"(0.375,0.5]磅",3.33
2025年01月15日至2025年10月14日,"[10,50]",小号标准尺寸,"(0.5,0.625]磅",3.43
2025年01月15日至2025年10月14日,"[10,50]",小号标准尺寸,"(0.625,0.75]磅",3.53
2025年01月15日至2025年10月14日,"[10,50]",小号标准尺寸,"(0.75,0.875]磅",3.6
2025年01月15日至2025年10月14日,"[10,50]",小号标准尺寸,"(0.875,1]磅",3.65
2025年01月15日至2025年10月14日,"[10,50]",大号标准尺寸,<=0.25磅,3.68
2025年01月15日至2025年10月14日,"[10,50]",大号标准尺寸,"(0.25,0.5]磅",3.9
2025年01月15日至2025年10月14日,"[10,50]",大号标准尺寸,"(0.5,0.75]磅",4.15
2025年01月15日至2025年10月14日,"[10,50]",大号标准尺寸,"(0.75,1]磅",4.55
2025年01月15日至2025年10月14日,"[10,50]",大号标准尺寸,"(1,1.25]磅",4.99
2025年01月15日至2025年10月14日,"[10,50]",大号标准尺寸,"(1.25,1.5]磅",5.37
2025年01月15日至2025年10月14日,"[10,50]",大号标准尺寸,"(1.5,1.75]磅",5.52
2025年01月15日至2025年10月14日,"[10,50]",大号标准尺寸,"(1.75,2]磅",5.77
2025年01月15日至2025年10月14日,"[10,50]",大号标准尺寸,"(2,2.25]磅",5.87
